matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
1024	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:01.737281+00:00Z	2026-06-04T17:55:01.871373+00:00Z	2.7608151491895074	2.7608151491895074	2.7608151491895074	2.7608151491895074	2.7608151491895074	0.5697100004908862	0.5697100004908862	0.5697100004908862	0.5697100004908862	0.5697100004908862	[0.5697100004908862]
2048	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:01.872383+00:00Z	2026-06-04T17:55:02.090580+00:00Z	9.934243907274553	9.934243907274553	9.934243907274553	9.934243907274553	9.934243907274553	0.6333099991024937	0.6333099991024937	0.6333099991024937	0.6333099991024937	0.6333099991024937	[0.6333099991024937]
3072	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:02.091590+00:00Z	2026-06-04T17:55:02.378806+00:00Z	17.54666996633986	17.54666996633986	17.54666996633986	17.54666996633986	17.54666996633986	0.8067500002653105	0.8067500002653105	0.8067500002653105	0.8067500002653105	0.8067500002653105	[0.8067500002653105]
4096	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:02.379814+00:00Z	2026-06-04T17:55:02.686307+00:00Z	25.148722861201193	25.148722861201193	25.148722861201193	25.148722861201193	25.148722861201193	1.000680000288412	1.000680000288412	1.000680000288412	1.000680000288412	1.000680000288412	[1.000680000288412]
5120	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:02.687334+00:00Z	2026-06-04T17:55:02.984487+00:00Z	33.101804087394335	33.101804087394335	33.101804087394335	33.101804087394335	33.101804087394335	1.187899000797188	1.187899000797188	1.187899000797188	1.187899000797188	1.187899000797188	[1.187899000797188]
6144	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:02.985516+00:00Z	2026-06-04T17:55:03.270737+00:00Z	39.831946830462904	39.831946830462904	39.831946830462904	39.831946830462904	39.831946830462904	1.4215499995771097	1.4215499995771097	1.4215499995771097	1.4215499995771097	1.4215499995771097	[1.4215499995771097]
7168	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:03.271757+00:00Z	2026-06-04T17:55:03.673386+00:00Z	40.64228775486137	40.64228775486137	40.64228775486137	40.64228775486137	40.64228775486137	1.8963089987664716	1.8963089987664716	1.8963089987664716	1.8963089987664716	1.8963089987664716	[1.8963089987664716]
8192	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:03.674404+00:00Z	2026-06-04T17:55:04.056503+00:00Z	45.163376954165	45.163376954165	45.163376954165	45.163376954165	45.163376954165	2.2288700001809048	2.2288700001809048	2.2288700001809048	2.2288700001809048	2.2288700001809048	[2.2288700001809048]
9216	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:04.057541+00:00Z	2026-06-04T17:55:04.454577+00:00Z	47.8248242026977	47.8248242026977	47.8248242026977	47.8248242026977	47.8248242026977	2.6639300012902822	2.6639300012902822	2.6639300012902822	2.6639300012902822	2.6639300012902822	[2.6639300012902822]
10240	2	1	4	microbenchmark	all_gather	2026-06-04T17:55:04.455605+00:00Z	2026-06-04T17:55:05.003337+00:00Z	48.980430744939675	48.980430744939675	48.980430744939675	48.980430744939675	48.980430744939675	3.211208999346127	3.211208999346127	3.211208999346127	3.211208999346127	3.211208999346127	[3.211208999346127]
