matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
1024	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.578063+00:00Z	2026-06-04T17:55:33.627048+00:00Z	4.042105268828354	4.042105268828354	4.042105268828354	4.042105268828354	4.042105268828354	0.3891199994541239	0.3891199994541239	0.3891199994541239	0.3891199994541239	0.3891199994541239	[0.3891199994541239]
2048	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.628066+00:00Z	2026-06-04T17:55:33.676372+00:00Z	11.110346644799545	11.110346644799545	11.110346644799545	11.110346644799545	11.110346644799545	0.5662700004904764	0.5662700004904764	0.5662700004904764	0.5662700004904764	0.5662700004904764	[0.5662700004904764]
3072	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.677399+00:00Z	2026-06-04T17:55:33.727564+00:00Z	15.679858211863857	15.679858211863857	15.679858211863857	15.679858211863857	15.679858211863857	0.9028000004036585	0.9028000004036585	0.9028000004036585	0.9028000004036585	0.9028000004036585	[0.9028000004036585]
4096	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.728579+00:00Z	2026-06-04T17:55:33.784598+00:00Z	18.596031902057355	18.596031902057355	18.596031902057355	18.596031902057355	18.596031902057355	1.353289999315166	1.353289999315166	1.353289999315166	1.353289999315166	1.353289999315166	[1.353289999315166]
5120	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.785654+00:00Z	2026-06-04T17:55:33.847755+00:00Z	21.166146955569154	21.166146955569154	21.166146955569154	21.166146955569154	21.166146955569154	1.8577589999040356	1.8577589999040356	1.8577589999040356	1.8577589999040356	1.8577589999040356	[1.8577589999040356]
6144	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.848838+00:00Z	2026-06-04T17:55:33.917453+00:00Z	22.33398400940655	22.33398400940655	22.33398400940655	22.33398400940655	22.33398400940655	2.535289000661578	2.535289000661578	2.535289000661578	2.535289000661578	2.535289000661578	[2.535289000661578]
7168	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:33.918548+00:00Z	2026-06-04T17:55:34.078021+00:00Z	22.536774074776076	22.536774074776076	22.536774074776076	22.536774074776076	22.536774074776076	3.4197590011899592	3.4197590011899592	3.4197590011899592	3.4197590011899592	3.4197590011899592	[3.4197590011899592]
8192	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:34.079166+00:00Z	2026-06-04T17:55:34.239502+00:00Z	23.172422169203553	23.172422169203553	23.172422169203553	23.172422169203553	23.172422169203553	4.344099001173163	4.344099001173163	4.344099001173163	4.344099001173163	4.344099001173163	[4.344099001173163]
9216	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:34.240654+00:00Z	2026-06-04T17:55:34.425364+00:00Z	23.866635171672907	23.866635171672907	23.866635171672907	23.866635171672907	23.866635171672907	5.338078999557183	5.338078999557183	5.338078999557183	5.338078999557183	5.338078999557183	[5.338078999557183]
10240	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:34.426514+00:00Z	2026-06-04T17:55:34.620920+00:00Z	23.985989629871657	23.985989629871657	23.985989629871657	23.985989629871657	23.985989629871657	6.557427999723586	6.557427999723586	6.557427999723586	6.557427999723586	6.557427999723586	[6.557427999723586]
11264	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:34.621887+00:00Z	2026-06-04T17:55:34.837301+00:00Z	24.551625913639953	24.551625913639953	24.551625913639953	24.551625913639953	24.551625913639953	7.751688001008006	7.751688001008006	7.751688001008006	7.751688001008006	7.751688001008006	[7.751688001008006]
12288	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:34.838237+00:00Z	2026-06-04T17:55:35.058841+00:00Z	24.774342588989043	24.774342588989043	24.774342588989043	24.774342588989043	24.774342588989043	9.14221700077178	9.14221700077178	9.14221700077178	9.14221700077178	9.14221700077178	[9.14221700077178]
