m	k	n	total_flops	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg
1024	1024	1024	2147483648	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:28.303505+00:00Z	2026-06-04T18:01:28.541398+00:00Z	9.198507823437941	9.198507823437941	9.198507823437941	9.198507823437941	9.198507823437941
2048	2048	2048	17179869184	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:28.542091+00:00Z	2026-06-04T18:01:29.584864+00:00Z	54.57565090896217	54.57565090896217	54.57565090896217	54.57565090896217	54.57565090896217
3072	3072	3072	57982058496	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:29.585680+00:00Z	2026-06-04T18:01:31.306512+00:00Z	125.77998723523103	125.77998723523103	125.77998723523103	125.77998723523103	125.77998723523103
4096	4096	4096	137438953472	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:31.307360+00:00Z	2026-06-04T18:01:33.662111+00:00Z	244.88925790744304	244.88925790744304	244.88925790744304	244.88925790744304	244.88925790744304
5120	5120	5120	268435456000	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:33.662950+00:00Z	2026-06-04T18:01:36.105025+00:00Z	338.1357076954982	338.1357076954982	338.1357076954982	338.1357076954982	338.1357076954982
6144	6144	6144	463856467968	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:36.105876+00:00Z	2026-06-04T18:01:38.929384+00:00Z	396.3331834342802	396.3331834342802	396.3331834342802	396.3331834342802	396.3331834342802
7168	7168	7168	736586891264	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:38.930237+00:00Z	2026-06-04T18:01:40.410020+00:00Z	458.23914549207285	458.23914549207285	458.23914549207285	458.23914549207285	458.23914549207285
8192	8192	8192	1099511627776	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:40.410879+00:00Z	2026-06-04T18:01:41.861912+00:00Z	471.0283677898736	471.0283677898736	471.0283677898736	471.0283677898736	471.0283677898736
9216	9216	9216	1565515579392	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:41.862792+00:00Z	2026-06-04T18:01:43.128434+00:00Z	455.89897096432986	455.89897096432986	455.89897096432986	455.89897096432986	455.89897096432986
10240	10240	10240	2147483648000	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:43.129278+00:00Z	2026-06-04T18:01:44.824513+00:00Z	489.80002716414356	489.80002716414356	489.80002716414356	489.80002716414356	489.80002716414356
11264	11264	11264	2858300735488	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:44.825386+00:00Z	2026-06-04T18:01:46.522033+00:00Z	519.9255765530529	519.9255765530529	519.9255765530529	519.9255765530529	519.9255765530529
12288	12288	12288	3710851743744	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:46.522890+00:00Z	2026-06-04T18:01:48.279208+00:00Z	574.5599499786733	574.5599499786733	574.5599499786733	574.5599499786733	574.5599499786733
13312	13312	13312	4718021574656	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:48.280075+00:00Z	2026-06-04T18:01:50.183997+00:00Z	568.0491027092909	568.0491027092909	568.0491027092909	568.0491027092909	568.0491027092909
14336	14336	14336	5892695130112	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:50.184865+00:00Z	2026-06-04T18:01:52.037891+00:00Z	549.483244545801	549.483244545801	549.483244545801	549.483244545801	549.483244545801
15360	15360	15360	7247757312000	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:52.038754+00:00Z	2026-06-04T18:01:53.991854+00:00Z	557.2982885826907	557.2982885826907	557.2982885826907	557.2982885826907	557.2982885826907
16384	16384	16384	8796093022208	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:53.992717+00:00Z	2026-06-04T18:01:55.748602+00:00Z	617.0195438998727	617.0195438998727	617.0195438998727	617.0195438998727	617.0195438998727
17408	17408	17408	10550587162624	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:55.749497+00:00Z	2026-06-04T18:01:57.865070+00:00Z	563.7649259399432	563.7649259399432	563.7649259399432	563.7649259399432	563.7649259399432
18432	18432	18432	12524124635136	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:57.865951+00:00Z	2026-06-04T18:01:59.921769+00:00Z	614.336482992693	614.336482992693	614.336482992693	614.336482992693	614.336482992693
19456	19456	19456	14729590341632	microbenchmark	collective_matmul_one_direction	2026-06-04T18:01:59.922647+00:00Z	2026-06-04T18:02:02.110050+00:00Z	572.4648242819469	572.4648242819469	572.4648242819469	572.4648242819469	572.4648242819469
