m	k	n	total_flops	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg
1024	1024	1024	2147483648	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:29.329260+00:00Z	2026-06-04T18:02:29.581848+00:00Z	8.990177234289726	8.990177234289726	8.990177234289726	8.990177234289726	8.990177234289726
2048	2048	2048	17179869184	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:29.582536+00:00Z	2026-06-04T18:02:30.651746+00:00Z	59.689629707294195	59.689629707294195	59.689629707294195	59.689629707294195	59.689629707294195
3072	3072	3072	57982058496	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:30.652455+00:00Z	2026-06-04T18:02:32.799247+00:00Z	143.2929483851601	143.2929483851601	143.2929483851601	143.2929483851601	143.2929483851601
4096	4096	4096	137438953472	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:32.799962+00:00Z	2026-06-04T18:02:35.332872+00:00Z	237.54118395833348	237.54118395833348	237.54118395833348	237.54118395833348	237.54118395833348
5120	5120	5120	268435456000	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:35.333558+00:00Z	2026-06-04T18:02:37.949498+00:00Z	319.1636442410402	319.1636442410402	319.1636442410402	319.1636442410402	319.1636442410402
6144	6144	6144	463856467968	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:37.950220+00:00Z	2026-06-04T18:02:40.967176+00:00Z	368.7311948316155	368.7311948316155	368.7311948316155	368.7311948316155	368.7311948316155
7168	7168	7168	736586891264	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:40.967884+00:00Z	2026-06-04T18:02:43.625024+00:00Z	458.81257876806035	458.81257876806035	458.81257876806035	458.81257876806035	458.81257876806035
8192	8192	8192	1099511627776	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:43.625900+00:00Z	2026-06-04T18:02:45.430588+00:00Z	454.11865229143956	454.11865229143956	454.11865229143956	454.11865229143956	454.11865229143956
9216	9216	9216	1565515579392	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:45.431298+00:00Z	2026-06-04T18:02:48.560320+00:00Z	440.89355610678024	440.89355610678024	440.89355610678024	440.89355610678024	440.89355610678024
10240	10240	10240	2147483648000	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:48.561053+00:00Z	2026-06-04T18:02:51.654894+00:00Z	467.31473546609874	467.31473546609874	467.31473546609874	467.31473546609874	467.31473546609874
11264	11264	11264	2858300735488	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:51.655612+00:00Z	2026-06-04T18:02:54.960373+00:00Z	498.5499852603865	498.5499852603865	498.5499852603865	498.5499852603865	498.5499852603865
12288	12288	12288	3710851743744	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:54.961125+00:00Z	2026-06-04T18:02:58.009908+00:00Z	552.3458660477579	552.3458660477579	552.3458660477579	552.3458660477579	552.3458660477579
13312	13312	13312	4718021574656	microbenchmark	collective_matmul_two_directions	2026-06-04T18:02:58.010795+00:00Z	2026-06-04T18:03:00.767996+00:00Z	555.5654231086012	555.5654231086012	555.5654231086012	555.5654231086012	555.5654231086012
