m	k	n	total_flops	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg
1024	1024	1024	4294967296	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:17.726618+00:00Z	2026-06-04T17:58:18.398112+00:00Z	15.90964332111285	15.90964332111285	15.90964332111285	15.90964332111285	15.90964332111285
2048	2048	2048	34359738368	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:18.398909+00:00Z	2026-06-04T17:58:21.083752+00:00Z	86.63793440132527	86.63793440132527	86.63793440132527	86.63793440132527	86.63793440132527
3072	3072	3072	115964116992	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:21.084543+00:00Z	2026-06-04T17:58:24.620893+00:00Z	209.95098444273916	209.95098444273916	209.95098444273916	209.95098444273916	209.95098444273916
4096	4096	4096	274877906944	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:24.621676+00:00Z	2026-06-04T17:58:28.752822+00:00Z	312.8874781394775	312.8874781394775	312.8874781394775	312.8874781394775	312.8874781394775
5120	5120	5120	536870912000	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:28.753610+00:00Z	2026-06-04T17:58:31.804879+00:00Z	368.7401521044906	368.7401521044906	368.7401521044906	368.7401521044906	368.7401521044906
6144	6144	6144	927712935936	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:31.805686+00:00Z	2026-06-04T17:58:35.056851+00:00Z	441.58091847112826	441.58091847112826	441.58091847112826	441.58091847112826	441.58091847112826
7168	7168	7168	1473173782528	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:35.057654+00:00Z	2026-06-04T17:58:38.301309+00:00Z	448.13019195114487	448.13019195114487	448.13019195114487	448.13019195114487	448.13019195114487
8192	8192	8192	2199023255552	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:38.302122+00:00Z	2026-06-04T17:58:42.137678+00:00Z	496.25023740129734	496.25023740129734	496.25023740129734	496.25023740129734	496.25023740129734
9216	9216	9216	3131031158784	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:42.138527+00:00Z	2026-06-04T17:58:46.384866+00:00Z	531.2001319592549	531.2001319592549	531.2001319592549	531.2001319592549	531.2001319592549
10240	10240	10240	4294967296000	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:46.385692+00:00Z	2026-06-04T17:58:51.014672+00:00Z	539.9772662228364	539.9772662228364	539.9772662228364	539.9772662228364	539.9772662228364
11264	11264	11264	5716601470976	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:51.015506+00:00Z	2026-06-04T17:58:56.186155+00:00Z	548.3341757457223	548.3341757457223	548.3341757457223	548.3341757457223	548.3341757457223
12288	12288	12288	7421703487488	microbenchmark	multilayer_collective_matmul	2026-06-04T17:58:56.187008+00:00Z	2026-06-04T17:59:01.934856+00:00Z	591.2969662028844	591.2969662028844	591.2969662028844	591.2969662028844	591.2969662028844
13312	13312	13312	9436043149312	microbenchmark	multilayer_collective_matmul	2026-06-04T17:59:01.935682+00:00Z	2026-06-04T17:59:08.044737+00:00Z	533.0614153866711	533.0614153866711	533.0614153866711	533.0614153866711	533.0614153866711
14336	14336	14336	11785390260224	microbenchmark	multilayer_collective_matmul	2026-06-04T17:59:08.045583+00:00Z	2026-06-04T17:59:14.450282+00:00Z	587.7125156056517	587.7125156056517	587.7125156056517	587.7125156056517	587.7125156056517
15360	15360	15360	14495514624000	microbenchmark	multilayer_collective_matmul	2026-06-04T17:59:14.451127+00:00Z	2026-06-04T17:59:20.819054+00:00Z	590.469249109939	590.469249109939	590.469249109939	590.469249109939	590.469249109939
