m	k	n	total_flops	total_gigabytes_transferred	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg	data_transfer_gbyte_sec_p50	data_transfer_gbyte_sec_p90	data_transfer_gbyte_sec_p95	data_transfer_gbyte_sec_p99	data_transfer_gbyte_sec_avg
1024	1024	1024	2147483648	0.006291456	microbenchmark	naive_matmul	2026-06-04T17:55:42.812300+00:00Z	2026-06-04T17:55:43.512332+00:00Z	8.731028003513522	8.731028003513522	8.731028003513522	8.731028003513522	8.731028003513522	25.579183604043525	25.579183604043525	25.579183604043525	25.579183604043525	25.579183604043525
2048	2048	2048	17179869184	0.025165824	microbenchmark	naive_matmul	2026-06-04T17:55:43.513356+00:00Z	2026-06-04T17:55:44.640469+00:00Z	61.37421131495558	61.37421131495558	61.37421131495558	61.37421131495558	61.37421131495558	89.90362985589196	89.90362985589196	89.90362985589196	89.90362985589196	89.90362985589196
3072	3072	3072	57982058496	0.056623104	microbenchmark	naive_matmul	2026-06-04T17:55:44.641452+00:00Z	2026-06-04T17:55:46.706925+00:00Z	152.57633441732105	152.57633441732105	152.57633441732105	152.57633441732105	152.57633441732105	149.00032657941512	149.00032657941512	149.00032657941512	149.00032657941512	149.00032657941512
4096	4096	4096	137438953472	0.100663296	microbenchmark	naive_matmul	2026-06-04T17:55:46.707970+00:00Z	2026-06-04T17:55:50.392043+00:00Z	267.31295017259765	267.31295017259765	267.31295017259765	267.31295017259765	267.31295017259765	195.78585217719555	195.78585217719555	195.78585217719555	195.78585217719555	195.78585217719555
5120	5120	5120	268435456000	0.1572864	microbenchmark	naive_matmul	2026-06-04T17:55:50.393003+00:00Z	2026-06-04T17:55:52.598713+00:00Z	331.5368679806585	331.5368679806585	331.5368679806585	331.5368679806585	331.5368679806585	194.25988358241707	194.25988358241707	194.25988358241707	194.25988358241707	194.25988358241707
6144	6144	6144	463856467968	0.226492416	microbenchmark	naive_matmul	2026-06-04T17:55:52.599768+00:00Z	2026-06-04T17:55:54.843837+00:00Z	393.0154358923964	393.0154358923964	393.0154358923964	393.0154358923964	393.0154358923964	191.90206830683417	191.90206830683417	191.90206830683417	191.90206830683417	191.90206830683417
7168	7168	7168	736586891264	0.308281344	microbenchmark	naive_matmul	2026-06-04T17:55:54.844800+00:00Z	2026-06-04T17:55:56.576429+00:00Z	427.78061834853054	427.78061834853054	427.78061834853054	427.78061834853054	427.78061834853054	179.0376471882801	179.0376471882801	179.0376471882801	179.0376471882801	179.0376471882801
8192	8192	8192	1099511627776	0.402653184	microbenchmark	naive_matmul	2026-06-04T17:55:56.577455+00:00Z	2026-06-04T17:55:58.203630+00:00Z	476.4617093459248	476.4617093459248	476.4617093459248	476.4617093459248	476.4617093459248	174.48548926242364	174.48548926242364	174.48548926242364	174.48548926242364	174.48548926242364
9216	9216	9216	1565515579392	0.509607936	microbenchmark	naive_matmul	2026-06-04T17:55:58.204608+00:00Z	2026-06-04T17:56:00.079699+00:00Z	518.139185219189	518.139185219189	518.139185219189	518.139185219189	518.139185219189	168.66509935520477	168.66509935520477	168.66509935520477	168.66509935520477	168.66509935520477
10240	10240	10240	2147483648000	0.6291456	microbenchmark	naive_matmul	2026-06-04T17:56:00.080681+00:00Z	2026-06-04T17:56:02.051997+00:00Z	544.3062715291602	544.3062715291602	544.3062715291602	544.3062715291602	544.3062715291602	159.46472798705864	159.46472798705864	159.46472798705864	159.46472798705864	159.46472798705864
11264	11264	11264	2858300735488	0.761266176	microbenchmark	naive_matmul	2026-06-04T17:56:02.052972+00:00Z	2026-06-04T17:56:04.075106+00:00Z	554.4286166117814	554.4286166117814	554.4286166117814	554.4286166117814	554.4286166117814	147.6638716118026	147.6638716118026	147.6638716118026	147.6638716118026	147.6638716118026
12288	12288	12288	3710851743744	0.905969664	microbenchmark	naive_matmul	2026-06-04T17:56:04.076103+00:00Z	2026-06-04T17:56:06.223600+00:00Z	596.4581322215855	596.4581322215855	596.4581322215855	596.4581322215855	596.4581322215855	145.61966118691052	145.61966118691052	145.61966118691052	145.61966118691052	145.61966118691052
13312	13312	13312	4718021574656	1.063256064	microbenchmark	naive_matmul	2026-06-04T17:56:06.224604+00:00Z	2026-06-04T17:56:08.471125+00:00Z	584.9511256356449	584.9511256356449	584.9511256356449	584.9511256356449	584.9511256356449	131.82492314505217	131.82492314505217	131.82492314505217	131.82492314505217	131.82492314505217
14336	14336	14336	5892695130112	1.233125376	microbenchmark	naive_matmul	2026-06-04T17:56:08.472149+00:00Z	2026-06-04T17:56:10.957880+00:00Z	616.2890420442146	616.2890420442146	616.2890420442146	616.2890420442146	616.2890420442146	128.96673591885073	128.96673591885073	128.96673591885073	128.96673591885073	128.96673591885073
15360	15360	15360	7247757312000	1.4155776	microbenchmark	naive_matmul	2026-06-04T17:56:10.958893+00:00Z	2026-06-04T17:56:13.367735+00:00Z	642.1629452728088	642.1629452728088	642.1629452728088	642.1629452728088	642.1629452728088	125.42245024859545	125.42245024859545	125.42245024859545	125.42245024859545	125.42245024859545
16384	16384	16384	8796093022208	1.610612736	microbenchmark	naive_matmul	2026-06-04T17:56:13.368743+00:00Z	2026-06-04T17:56:15.898022+00:00Z	616.012285756203	616.012285756203	616.012285756203	616.012285756203	616.012285756203	112.7952183391485	112.7952183391485	112.7952183391485	112.7952183391485	112.7952183391485
17408	17408	17408	10550587162624	1.818230784	microbenchmark	naive_matmul	2026-06-04T17:56:15.899027+00:00Z	2026-06-04T17:56:18.544307+00:00Z	602.7227591874175	602.7227591874175	602.7227591874175	602.7227591874175	602.7227591874175	103.86996079746395	103.86996079746395	103.86996079746395	103.86996079746395	103.86996079746395
18432	18432	18432	12524124635136	2.038431744	microbenchmark	naive_matmul	2026-06-04T17:56:18.545318+00:00Z	2026-06-04T17:56:21.142081+00:00Z	652.6321221600447	652.6321221600447	652.6321221600447	652.6321221600447	652.6321221600447	106.22267613281977	106.22267613281977	106.22267613281977	106.22267613281977	106.22267613281977
19456	19456	19456	14729590341632	2.271215616	microbenchmark	naive_matmul	2026-06-04T17:56:21.143102+00:00Z	2026-06-04T17:56:23.892060+00:00Z	617.128319493032	617.128319493032	617.128319493032	617.128319493032	617.128319493032	95.15753281656538	95.15753281656538	95.15753281656538	95.15753281656538	95.15753281656538
20480	20480	20480	17179869184000	2.5165824	microbenchmark	naive_matmul	2026-06-04T17:56:23.893082+00:00Z	2026-06-04T17:56:26.786235+00:00Z	627.204123021926	627.204123021926	627.204123021926	627.204123021926	627.204123021926	91.87560395828993	91.87560395828993	91.87560395828993	91.87560395828993	91.87560395828993
21504	21504	21504	19887846064128	2.774532096	microbenchmark	naive_matmul	2026-06-04T17:56:26.787270+00:00Z	2026-06-04T17:56:29.744519+00:00Z	631.5791198806178	631.5791198806178	631.5791198806178	631.5791198806178	631.5791198806178	88.11092632263083	88.11092632263083	88.11092632263083	88.11092632263083	88.11092632263083
22528	22528	22528	22866405883904	3.045064704	microbenchmark	naive_matmul	2026-06-04T17:56:29.745537+00:00Z	2026-06-04T17:56:32.854433+00:00Z	637.4865278648549	637.4865278648549	637.4865278648549	637.4865278648549	637.4865278648549	84.89255964109395	84.89255964109395	84.89255964109395	84.89255964109395	84.89255964109395
23552	23552	23552	26128433545216	3.328180224	microbenchmark	naive_matmul	2026-06-04T17:56:32.855472+00:00Z	2026-06-04T17:56:36.112701+00:00Z	621.9407611000355	621.9407611000355	621.9407611000355	621.9407611000355	621.9407611000355	79.22139450153304	79.22139450153304	79.22139450153304	79.22139450153304	79.22139450153304
24576	24576	24576	29686813949952	3.623878656	microbenchmark	naive_matmul	2026-06-04T17:56:36.113730+00:00Z	2026-06-04T17:56:39.357395+00:00Z	700.1390911999417	700.1390911999417	700.1390911999417	700.1390911999417	700.1390911999417	85.46619765624288	85.46619765624288	85.46619765624288	85.46619765624288	85.46619765624288
25600	25600	25600	33554432000000	3.93216	microbenchmark	naive_matmul	2026-06-04T17:56:39.358418+00:00Z	2026-06-04T17:56:42.840985+00:00Z	656.430456014465	656.430456014465	656.430456014465	656.430456014465	656.430456014465	76.92544406419512	76.92544406419512	76.92544406419512	76.92544406419512	76.92544406419512
26624	26624	26624	37744172597248	4.253024256	microbenchmark	naive_matmul	2026-06-04T17:56:42.842010+00:00Z	2026-06-04T17:56:46.355086+00:00Z	640.6516169242565	640.6516169242565	640.6516169242565	640.6516169242565	640.6516169242565	72.18880899837626	72.18880899837626	72.18880899837626	72.18880899837626	72.18880899837626
27648	27648	27648	42268920643584	4.586471424	microbenchmark	naive_matmul	2026-06-04T17:56:46.356122+00:00Z	2026-06-04T17:56:50.047140+00:00Z	659.1213559044644	659.1213559044644	659.1213559044644	659.1213559044644	659.1213559044644	71.5192443472726	71.5192443472726	71.5192443472726	71.5192443472726	71.5192443472726
28672	28672	28672	47141561040896	4.932501504	microbenchmark	naive_matmul	2026-06-04T17:56:50.048161+00:00Z	2026-06-04T17:56:53.807924+00:00Z	647.3378992516732	647.3378992516732	647.3378992516732	647.3378992516732	647.3378992516732	67.73206256121023	67.73206256121023	67.73206256121023	67.73206256121023	67.73206256121023
29696	29696	29696	52374978691072	5.291114496	microbenchmark	naive_matmul	2026-06-04T17:56:53.808971+00:00Z	2026-06-04T17:56:57.890711+00:00Z	636.4889871579963	636.4889871579963	636.4889871579963	636.4889871579963	636.4889871579963	64.30047688153249	64.30047688153249	64.30047688153249	64.30047688153249	64.30047688153249
