batch	seq_len	d_model	num_heads	causal	testsuite	test_name	test_start_timestamp	test_end_timestamp	time_ms_p50	time_ms_p90	time_ms_p95	time_ms_p99	time_ms_avg
1	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:47.474515+00:00Z	2026-06-04T18:04:47.846090+00:00Z	0.16105000031529926	0.16105000031529926	0.16105000031529926	0.16105000031529926	0.16105000031529926
2	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:47.846761+00:00Z	2026-06-04T18:04:48.236918+00:00Z	0.1637699970160611	0.1637699970160611	0.1637699970160611	0.1637699970160611	0.1637699970160611
4	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:48.237750+00:00Z	2026-06-04T18:04:48.666329+00:00Z	0.1737099992169533	0.1737099992169533	0.1737099992169533	0.1737099992169533	0.1737099992169533
8	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:48.667131+00:00Z	2026-06-04T18:04:49.113105+00:00Z	0.19498000256135128	0.19498000256135128	0.19498000256135128	0.19498000256135128	0.19498000256135128
16	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:49.113912+00:00Z	2026-06-04T18:04:49.768181+00:00Z	0.23383000007015653	0.23383000007015653	0.23383000007015653	0.23383000007015653	0.23383000007015653
32	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:49.769052+00:00Z	2026-06-04T18:04:50.441980+00:00Z	0.35447000118438154	0.35447000118438154	0.35447000118438154	0.35447000118438154	0.35447000118438154
2	128	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:50.442801+00:00Z	2026-06-04T18:04:50.538502+00:00Z	0.168419999681646	0.168419999681646	0.168419999681646	0.168419999681646	0.168419999681646
2	256	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:50.539315+00:00Z	2026-06-04T18:04:50.712628+00:00Z	0.16133000099216588	0.16133000099216588	0.16133000099216588	0.16133000099216588	0.16133000099216588
2	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:50.713439+00:00Z	2026-06-04T18:04:51.092847+00:00Z	0.16313000014633872	0.16313000014633872	0.16313000014633872	0.16313000014633872	0.16313000014633872
2	1024	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:51.093508+00:00Z	2026-06-04T18:04:52.165068+00:00Z	0.1777500001480803	0.1777500001480803	0.1777500001480803	0.1777500001480803	0.1777500001480803
2	2048	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:52.165741+00:00Z	2026-06-04T18:04:53.387095+00:00Z	0.22962999719311483	0.22962999719311483	0.22962999719311483	0.22962999719311483	0.22962999719311483
2	512	128	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:53.387926+00:00Z	2026-06-04T18:04:53.577530+00:00Z	0.18200000340584666	0.18200000340584666	0.18200000340584666	0.18200000340584666	0.18200000340584666
2	512	256	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:53.578354+00:00Z	2026-06-04T18:04:53.786833+00:00Z	0.15331999748013914	0.15331999748013914	0.15331999748013914	0.15331999748013914	0.15331999748013914
2	512	512	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:53.787650+00:00Z	2026-06-04T18:04:54.057723+00:00Z	0.18286900012753904	0.18286900012753904	0.18286900012753904	0.18286900012753904	0.18286900012753904
2	512	1024	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:54.058522+00:00Z	2026-06-04T18:04:54.438058+00:00Z	0.16390000018873252	0.16390000018873252	0.16390000018873252	0.16390000018873252	0.16390000018873252
2	512	2048	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:54.438867+00:00Z	2026-06-04T18:04:55.015658+00:00Z	0.178639998921426	0.178639998921426	0.178639998921426	0.178639998921426	0.178639998921426
2	512	4096	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:55.016500+00:00Z	2026-06-04T18:04:55.498232+00:00Z	0.19543999951565638	0.19543999951565638	0.19543999951565638	0.19543999951565638	0.19543999951565638
2	512	2048	1	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:55.499067+00:00Z	2026-06-04T18:04:56.072763+00:00Z	0.17334999938611872	0.17334999938611872	0.17334999938611872	0.17334999938611872	0.17334999938611872
2	512	2048	2	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:56.073586+00:00Z	2026-06-04T18:04:56.500019+00:00Z	0.16722000145819038	0.16722000145819038	0.16722000145819038	0.16722000145819038	0.16722000145819038
2	512	2048	4	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:56.500845+00:00Z	2026-06-04T18:04:56.929263+00:00Z	0.1754889999574516	0.1754889999574516	0.1754889999574516	0.1754889999574516	0.1754889999574516
2	512	2048	8	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:56.930087+00:00Z	2026-06-04T18:04:57.198458+00:00Z	0.1741800006129779	0.1741800006129779	0.1741800006129779	0.1741800006129779	0.1741800006129779
2	512	2048	16	True	microbenchmark	pallas_flash_attention	2026-06-04T18:04:57.199293+00:00Z	2026-06-04T18:04:57.567576+00:00Z	0.18794000061461702	0.18794000061461702	0.18794000061461702	0.18794000061461702	0.18794000061461702
2	512	1024	1	False	microbenchmark	pallas_flash_attention	2026-06-04T18:04:57.568428+00:00Z	2026-06-04T18:04:58.050870+00:00Z	0.16105999748106115	0.16105999748106115	0.16105999748106115	0.16105999748106115	0.16105999748106115
