matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
1024	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:45.342130+00:00Z	2026-06-04T17:54:50.536486+00:00Z	5.016509986753715	5.016509986753715	5.016509986753715	5.016509986753715	5.016509986753715	0.41805000000749715	0.41805000000749715	0.41805000000749715	0.41805000000749715	0.41805000000749715	[0.41805000000749715]
2048	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:50.537701+00:00Z	2026-06-04T17:54:50.620489+00:00Z	13.852210860128357	13.852210860128357	13.852210860128357	13.852210860128357	13.852210860128357	0.605578999966383	0.605578999966383	0.605578999966383	0.605578999966383	0.605578999966383	[0.605578999966383]
3072	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:50.621455+00:00Z	2026-06-04T17:54:50.707574+00:00Z	19.76787599874863	19.76787599874863	19.76787599874863	19.76787599874863	19.76787599874863	0.9547999998176238	0.9547999998176238	0.9547999998176238	0.9547999998176238	0.9547999998176238	[0.9547999998176238]
4096	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:50.708523+00:00Z	2026-06-04T17:54:50.801862+00:00Z	22.126086852446356	22.126086852446356	22.126086852446356	22.126086852446356	22.126086852446356	1.5165100012382027	1.5165100012382027	1.5165100012382027	1.5165100012382027	1.5165100012382027	[1.5165100012382027]
5120	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:50.802828+00:00Z	2026-06-04T17:54:50.903049+00:00Z	24.06138706826774	24.06138706826774	24.06138706826774	24.06138706826774	24.06138706826774	2.1789600014017196	2.1789600014017196	2.1789600014017196	2.1789600014017196	2.1789600014017196	[2.1789600014017196]
6144	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:50.904018+00:00Z	2026-06-04T17:54:51.012581+00:00Z	26.365359988993948	26.365359988993948	26.365359988993948	26.365359988993948	26.365359988993948	2.8635100006795255	2.8635100006795255	2.8635100006795255	2.8635100006795255	2.8635100006795255	[2.8635100006795255]
7168	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:51.013577+00:00Z	2026-06-04T17:54:51.214936+00:00Z	25.954399152022933	25.954399152022933	25.954399152022933	25.954399152022933	25.954399152022933	3.9592690009158105	3.9592690009158105	3.9592690009158105	3.9592690009158105	3.9592690009158105	[3.9592690009158105]
8192	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:51.215938+00:00Z	2026-06-04T17:54:51.412379+00:00Z	27.051414079163255	27.051414079163255	27.051414079163255	27.051414079163255	27.051414079163255	4.961578999427729	4.961578999427729	4.961578999427729	4.961578999427729	4.961578999427729	[4.961578999427729]
9216	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:51.413392+00:00Z	2026-06-04T17:54:51.638058+00:00Z	27.474993396527726	27.474993396527726	27.474993396527726	27.474993396527726	27.474993396527726	6.182688000990311	6.182688000990311	6.182688000990311	6.182688000990311	6.182688000990311	[6.182688000990311]
10240	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:51.639068+00:00Z	2026-06-04T17:54:51.875586+00:00Z	27.50915987309919	27.50915987309919	27.50915987309919	27.50915987309919	27.50915987309919	7.623468000019784	7.623468000019784	7.623468000019784	7.623468000019784	7.623468000019784	[7.623468000019784]
11264	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:51.876600+00:00Z	2026-06-04T17:54:52.136415+00:00Z	27.72862346207016	27.72862346207016	27.72862346207016	27.72862346207016	27.72862346207016	9.151387999736471	9.151387999736471	9.151387999736471	9.151387999736471	9.151387999736471	[9.151387999736471]
