matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
1024	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.317141+00:00Z	2026-06-04T17:55:24.391253+00:00Z	4.05377319185766	4.05377319185766	4.05377319185766	4.05377319185766	4.05377319185766	0.3880000003846362	0.3880000003846362	0.3880000003846362	0.3880000003846362	0.3880000003846362	[0.3880000003846362]
2048	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.392340+00:00Z	2026-06-04T17:55:24.460850+00:00Z	10.889393520895316	10.889393520895316	10.889393520895316	10.889393520895316	10.889393520895316	0.5777599999419181	0.5777599999419181	0.5777599999419181	0.5777599999419181	0.5777599999419181	[0.5777599999419181]
3072	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.461895+00:00Z	2026-06-04T17:55:24.535577+00:00Z	15.948031749268507	15.948031749268507	15.948031749268507	15.948031749268507	15.948031749268507	0.8876190004230011	0.8876190004230011	0.8876190004230011	0.8876190004230011	0.8876190004230011	[0.8876190004230011]
4096	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.536646+00:00Z	2026-06-04T17:55:24.664275+00:00Z	18.519002232689147	18.519002232689147	18.519002232689147	18.519002232689147	18.519002232689147	1.3589190002676332	1.3589190002676332	1.3589190002676332	1.3589190002676332	1.3589190002676332	[1.3589190002676332]
5120	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.665372+00:00Z	2026-06-04T17:55:24.786390+00:00Z	21.11328870290571	21.11328870290571	21.11328870290571	21.11328870290571	21.11328870290571	1.8624099993758136	1.8624099993758136	1.8624099993758136	1.8624099993758136	1.8624099993758136	[1.8624099993758136]
6144	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.787501+00:00Z	2026-06-04T17:55:24.944323+00:00Z	21.782565604965296	21.782565604965296	21.782565604965296	21.782565604965296	21.782565604965296	2.5994689985964214	2.5994689985964214	2.5994689985964214	2.5994689985964214	2.5994689985964214	[2.5994689985964214]
7168	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:24.945453+00:00Z	2026-06-04T17:55:25.046328+00:00Z	23.54932886697778	23.54932886697778	23.54932886697778	23.54932886697778	23.54932886697778	3.2727189991419436	3.2727189991419436	3.2727189991419436	3.2727189991419436	3.2727189991419436	[3.2727189991419436]
8192	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:25.047442+00:00Z	2026-06-04T17:55:25.261116+00:00Z	23.821972900573392	23.821972900573392	23.821972900573392	23.821972900573392	23.821972900573392	4.225649001455167	4.225649001455167	4.225649001455167	4.225649001455167	4.225649001455167	[4.225649001455167]
9216	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:25.262245+00:00Z	2026-06-04T17:55:25.523950+00:00Z	24.095858416023734	24.095858416023734	24.095858416023734	24.095858416023734	24.095858416023734	5.287297999529983	5.287297999529983	5.287297999529983	5.287297999529983	5.287297999529983	[5.287297999529983]
10240	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:25.525086+00:00Z	2026-06-04T17:55:25.794592+00:00Z	23.81378042210087	23.81378042210087	23.81378042210087	23.81378042210087	23.81378042210087	6.604848000279162	6.604848000279162	6.604848000279162	6.604848000279162	6.604848000279162	[6.604848000279162]
11264	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:25.795722+00:00Z	2026-06-04T17:55:26.061729+00:00Z	24.15767663650562	24.15767663650562	24.15767663650562	24.15767663650562	24.15767663650562	7.878098000219325	7.878098000219325	7.878098000219325	7.878098000219325	7.878098000219325	[7.878098000219325]
12288	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:26.062885+00:00Z	2026-06-04T17:55:26.288698+00:00Z	24.502280465194186	24.502280465194186	24.502280465194186	24.502280465194186	24.502280465194186	9.243728000001283	9.243728000001283	9.243728000001283	9.243728000001283	9.243728000001283	[9.243728000001283]
13312	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:26.289863+00:00Z	2026-06-04T17:55:26.589241+00:00Z	24.556433864691247	24.556433864691247	24.556433864691247	24.556433864691247	24.556433864691247	10.824617998878239	10.824617998878239	10.824617998878239	10.824617998878239	10.824617998878239	[10.824617998878239]
14336	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:26.590385+00:00Z	2026-06-04T17:55:26.785412+00:00Z	25.728475300236862	25.728475300236862	25.728475300236862	25.728475300236862	25.728475300236862	11.982107000221731	11.982107000221731	11.982107000221731	11.982107000221731	11.982107000221731	[11.982107000221731]
15360	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:26.786570+00:00Z	2026-06-04T17:55:27.076991+00:00Z	24.633330657803302	24.633330657803302	24.633330657803302	24.633330657803302	24.633330657803302	14.366485998834833	14.366485998834833	14.366485998834833	14.366485998834833	14.366485998834833	[14.366485998834833]
16384	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:27.078145+00:00Z	2026-06-04T17:55:27.438803+00:00Z	24.826345448216145	24.826345448216145	24.826345448216145	24.826345448216145	24.826345448216145	16.218786000536056	16.218786000536056	16.218786000536056	16.218786000536056	16.218786000536056	[16.218786000536056]
17408	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:27.439951+00:00Z	2026-06-04T17:55:27.786097+00:00Z	24.72601240717104	24.72601240717104	24.72601240717104	24.72601240717104	24.72601240717104	18.383784999969066	18.383784999969066	18.383784999969066	18.383784999969066	18.383784999969066	[18.383784999969066]
18432	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:27.787279+00:00Z	2026-06-04T17:55:28.063939+00:00Z	26.169780794045405	26.169780794045405	26.169780794045405	26.169780794045405	26.169780794045405	19.47314499921049	19.47314499921049	19.47314499921049	19.47314499921049	19.47314499921049	[19.47314499921049]
19456	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:28.065091+00:00Z	2026-06-04T17:55:28.497339+00:00Z	24.95345118914113	24.95345118914113	24.95345118914113	24.95345118914113	24.95345118914113	22.754524001356913	22.754524001356913	22.754524001356913	22.754524001356913	22.754524001356913	[22.754524001356913]
20480	2	1	4	microbenchmark	psum_scatter	2026-06-04T17:55:28.498512+00:00Z	2026-06-04T17:55:28.825891+00:00Z	26.342000649975816	26.342000649975816	26.342000649975816	26.342000649975816	26.342000649975816	23.883744001068408	23.883744001068408	23.883744001068408	23.883744001068408	23.883744001068408	[23.883744001068408]
