m	k	n	total_flops	total_gigabytes_transferred	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg	data_transfer_gbyte_sec_p50	data_transfer_gbyte_sec_p90	data_transfer_gbyte_sec_p95	data_transfer_gbyte_sec_p99	data_transfer_gbyte_sec_avg
1024	1024	1024	2147483648	0.006291456	microbenchmark	single_host_naive_matmul	2026-06-04T17:56:57.902424+00:00Z	2026-06-04T17:56:58.340149+00:00Z	11.683170943929836	11.683170943929836	11.683170943929836	11.683170943929836	11.683170943929836	34.22803987479444	34.22803987479444	34.22803987479444	34.22803987479444	34.22803987479444
2048	2048	2048	17179869184	0.025165824	microbenchmark	single_host_naive_matmul	2026-06-04T17:56:58.341124+00:00Z	2026-06-04T17:56:59.344886+00:00Z	91.97424521472362	91.97424521472362	91.97424521472362	91.97424521472362	91.97424521472362	134.72789826375532	134.72789826375532	134.72789826375532	134.72789826375532	134.72789826375532
3072	3072	3072	57982058496	0.056623104	microbenchmark	single_host_naive_matmul	2026-06-04T17:56:59.345856+00:00Z	2026-06-04T17:57:01.215126+00:00Z	258.7907098586474	258.7907098586474	258.7907098586474	258.7907098586474	258.7907098586474	252.72530259633535	252.72530259633535	252.72530259633535	252.72530259633535	252.72530259633535
4096	4096	4096	137438953472	0.100663296	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:01.216094+00:00Z	2026-06-04T17:57:03.209300+00:00Z	419.5072134734376	419.5072134734376	419.5072134734376	419.5072134734376	419.5072134734376	307.2562598682404	307.2562598682404	307.2562598682404	307.2562598682404	307.2562598682404
5120	5120	5120	268435456000	0.1572864	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:03.210283+00:00Z	2026-06-04T17:57:05.036611+00:00Z	564.082238601208	564.082238601208	564.082238601208	564.082238601208	564.082238601208	330.5169366803953	330.5169366803953	330.5169366803953	330.5169366803953	330.5169366803953
6144	6144	6144	463856467968	0.226492416	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:05.037583+00:00Z	2026-06-04T17:57:07.122027+00:00Z	645.5640162404181	645.5640162404181	645.5640162404181	645.5640162404181	645.5640162404181	315.2168048048917	315.2168048048917	315.2168048048917	315.2168048048917	315.2168048048917
7168	7168	7168	736586891264	0.308281344	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:07.123000+00:00Z	2026-06-04T17:57:08.700747+00:00Z	432.15010609795627	432.15010609795627	432.15010609795627	432.15010609795627	432.15010609795627	180.86639485126517	180.86639485126517	180.86639485126517	180.86639485126517	180.86639485126517
8192	8192	8192	1099511627776	0.402653184	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:08.701595+00:00Z	2026-06-04T17:57:10.154246+00:00Z	696.0216266271303	696.0216266271303	696.0216266271303	696.0216266271303	696.0216266271303	254.89073240739637	254.89073240739637	254.89073240739637	254.89073240739637	254.89073240739637
9216	9216	9216	1565515579392	0.509607936	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:10.155098+00:00Z	2026-06-04T17:57:11.875263+00:00Z	730.4983060451633	730.4983060451633	730.4983060451633	730.4983060451633	730.4983060451633	237.7924173324099	237.7924173324099	237.7924173324099	237.7924173324099	237.7924173324099
10240	10240	10240	2147483648000	0.6291456	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:11.876259+00:00Z	2026-06-04T17:57:13.670893+00:00Z	707.0696465199542	707.0696465199542	707.0696465199542	707.0696465199542	707.0696465199542	207.14931050389282	207.14931050389282	207.14931050389282	207.14931050389282	207.14931050389282
