batch	seq_len	d_model	num_heads	causal	testsuite	test_name	test_start_timestamp	test_end_timestamp	time_ms_p50	time_ms_p90	time_ms_p95	time_ms_p99	time_ms_avg
1	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.059525+00:00Z	2026-06-04T18:04:58.241635+00:00Z	0.1746300004015211	0.1746300004015211	0.1746300004015211	0.1746300004015211	0.1746300004015211
2	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.242350+00:00Z	2026-06-04T18:04:58.408475+00:00Z	0.20062999828951433	0.20062999828951433	0.20062999828951433	0.20062999828951433	0.20062999828951433
4	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.409368+00:00Z	2026-06-04T18:04:58.572769+00:00Z	0.21610000112559646	0.21610000112559646	0.21610000112559646	0.21610000112559646	0.21610000112559646
8	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.573631+00:00Z	2026-06-04T18:04:58.738243+00:00Z	0.28975999885005876	0.28975999885005876	0.28975999885005876	0.28975999885005876	0.28975999885005876
16	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.739091+00:00Z	2026-06-04T18:04:58.905021+00:00Z	0.42566000047372654	0.42566000047372654	0.42566000047372654	0.42566000047372654	0.42566000047372654
32	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:58.905694+00:00Z	2026-06-04T18:04:59.073998+00:00Z	0.677418996929191	0.677418996929191	0.677418996929191	0.677418996929191	0.677418996929191
2	128	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.074849+00:00Z	2026-06-04T18:04:59.247863+00:00Z	0.15349999739555642	0.15349999739555642	0.15349999739555642	0.15349999739555642	0.15349999739555642
2	256	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.248718+00:00Z	2026-06-04T18:04:59.425070+00:00Z	0.16246999803115614	0.16246999803115614	0.16246999803115614	0.16246999803115614	0.16246999803115614
2	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.425924+00:00Z	2026-06-04T18:04:59.589408+00:00Z	0.19601000167313032	0.19601000167313032	0.19601000167313032	0.19601000167313032	0.19601000167313032
2	1024	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.590249+00:00Z	2026-06-04T18:04:59.769916+00:00Z	0.25945899687940255	0.25945899687940255	0.25945899687940255	0.25945899687940255	0.25945899687940255
2	2048	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.770744+00:00Z	2026-06-04T18:04:59.960048+00:00Z	0.5355600005714223	0.5355600005714223	0.5355600005714223	0.5355600005714223	0.5355600005714223
2	512	128	1	True	microbenchmark	splash_attention	2026-06-04T18:04:59.960900+00:00Z	2026-06-04T18:05:00.075273+00:00Z	0.18846999955712818	0.18846999955712818	0.18846999955712818	0.18846999955712818	0.18846999955712818
2	512	256	1	True	microbenchmark	splash_attention	2026-06-04T18:05:00.076102+00:00Z	2026-06-04T18:05:00.200449+00:00Z	0.17468999794800766	0.17468999794800766	0.17468999794800766	0.17468999794800766	0.17468999794800766
2	512	512	1	True	microbenchmark	splash_attention	2026-06-04T18:05:00.201296+00:00Z	2026-06-04T18:05:00.341640+00:00Z	0.18102999820257537	0.18102999820257537	0.18102999820257537	0.18102999820257537	0.18102999820257537
2	512	1024	1	True	microbenchmark	splash_attention	2026-06-04T18:05:00.342476+00:00Z	2026-06-04T18:05:00.503333+00:00Z	0.18537999858381227	0.18537999858381227	0.18537999858381227	0.18537999858381227	0.18537999858381227
2	512	2048	1	True	microbenchmark	splash_attention	2026-06-04T18:05:00.504185+00:00Z	2026-06-04T18:05:00.754543+00:00Z	0.19905000226572156	0.19905000226572156	0.19905000226572156	0.19905000226572156	0.19905000226572156
2	512	4096	1	True	microbenchmark	splash_attention	2026-06-04T18:05:00.755387+00:00Z	2026-06-04T18:05:01.155658+00:00Z	0.25862999973469414	0.25862999973469414	0.25862999973469414	0.25862999973469414	0.25862999973469414
2	512	2048	1	True	microbenchmark	splash_attention	2026-06-04T18:05:01.156516+00:00Z	2026-06-04T18:05:01.391873+00:00Z	0.2033500022662338	0.2033500022662338	0.2033500022662338	0.2033500022662338	0.2033500022662338
2	512	2048	2	True	microbenchmark	splash_attention	2026-06-04T18:05:01.392703+00:00Z	2026-06-04T18:05:01.569504+00:00Z	0.2251899968541693	0.2251899968541693	0.2251899968541693	0.2251899968541693	0.2251899968541693
2	512	2048	4	True	microbenchmark	splash_attention	2026-06-04T18:05:01.570346+00:00Z	2026-06-04T18:05:01.715229+00:00Z	0.25164000180666335	0.25164000180666335	0.25164000180666335	0.25164000180666335	0.25164000180666335
2	512	2048	8	True	microbenchmark	splash_attention	2026-06-04T18:05:01.716058+00:00Z	2026-06-04T18:05:01.840918+00:00Z	0.3181100000801962	0.3181100000801962	0.3181100000801962	0.3181100000801962	0.3181100000801962
2	512	2048	16	True	microbenchmark	splash_attention	2026-06-04T18:05:01.841589+00:00Z	2026-06-04T18:05:01.959900+00:00Z	0.4611100011970848	0.4611100011970848	0.4611100011970848	0.4611100011970848	0.4611100011970848
2	512	1024	1	False	microbenchmark	splash_attention	2026-06-04T18:05:01.960724+00:00Z	2026-06-04T18:05:02.132472+00:00Z	0.20795000091311522	0.20795000091311522	0.20795000091311522	0.20795000091311522	0.20795000091311522
